image,variant,flow_threshold,cellprob_threshold,cell_count,diameter_estimate
CP HEK293 (10),B_channel,0.8,-2.0,493,-1
CP HEK293 (10),B_channel,0.8,-1.0,473,-1
CP HEK293 (10),B_channel,0.8,0.0,403,-1
CP HEK293 (10),B_channel,0.8,1.0,309,-1
CP HEK293 (10),B_channel,0.8,2.0,233,-1
CP HEK293 (10),B_channel,0.9,-3.0,546,-1
CP HEK293 (10),B_channel,0.9,-2.0,528,-1
CP HEK293 (10),B_channel,0.9,-1.0,487,-1
CP HEK293 (10),B_channel,0.9,0.0,406,-1
CP HEK293 (10),B_channel,0.9,1.0,313,-1
CP HEK293 (10),B_channel,0.9,2.0,233,-1
CP HEK293 (10),B_channel,1.0,-3.0,644,-1
CP HEK293 (10),B_channel,1.0,-2.0,563,-1
CP HEK293 (10),B_channel,1.0,-1.0,489,-1
CP HEK293 (10),B_channel,1.0,0.0,407,-1
CP HEK293 (10),B_channel,1.0,1.0,314,-1
CP HEK293 (10),B_channel,1.0,2.0,233,-1
CP HEK293 (10),C_current_pipeline,0.2,-3.0,0,-1
CP HEK293 (10),C_current_pipeline,0.2,-2.0,27,-1
CP HEK293 (10),C_current_pipeline,0.2,-1.0,201,-1
CP HEK293 (10),C_current_pipeline,0.2,0.0,273,-1
CP HEK293 (10),C_current_pipeline,0.2,1.0,252,-1
CP HEK293 (10),C_current_pipeline,0.2,2.0,167,-1
CP HEK293 (10),C_current_pipeline,0.3,-3.0,21,-1
CP HEK293 (10),C_current_pipeline,0.3,-2.0,179,-1
CP HEK293 (10),C_current_pipeline,0.3,-1.0,291,-1
CP HEK293 (10),C_current_pipeline,0.3,0.0,335,-1
CP HEK293 (10),C_current_pipeline,0.3,1.0,267,-1
CP HEK293 (10),C_current_pipeline,0.3,2.0,174,-1
CP HEK293 (10),C_current_pipeline,0.4,-3.0,124,-1
CP HEK293 (10),C_current_pipeline,0.4,-2.0,266,-1
CP HEK293 (10),C_current_pipeline,0.4,-1.0,358,-1
CP HEK293 (10),C_current_pipeline,0.4,0.0,363,-1
CP HEK293 (10),C_current_pipeline,0.4,1.0,277,-1
CP HEK293 (10),C_current_pipeline,0.4,2.0,181,-1
CP HEK293 (10),C_current_pipeline,0.5,-3.0,237,-1
CP HEK293 (10),C_current_pipeline,0.5,-2.0,342,-1
CP HEK293 (10),C_current_pipeline,0.5,-1.0,408,-1
CP HEK293 (10),C_current_pipeline,0.5,0.0,373,-1
CP HEK293 (10),C_current_pipeline,0.5,1.0,279,-1
CP HEK293 (10),C_current_pipeline,0.5,2.0,184,-1
CP HEK293 (10),C_current_pipeline,0.6,-3.0,335,-1
CP HEK293 (10),C_current_pipeline,0.6,-2.0,406,-1
CP HEK293 (10),C_current_pipeline,0.6,-1.0,446,-1
CP HEK293 (10),C_current_pipeline,0.6,0.0,376,-1
CP HEK293 (10),C_current_pipeline,0.6,1.0,282,-1
CP HEK293 (10),C_current_pipeline,0.6,2.0,186,-1
CP HEK293 (10),C_current_pipeline,0.7,-3.0,411,-1
CP HEK293 (10),C_current_pipeline,0.7,-2.0,464,-1
CP HEK293 (10),C_current_pipeline,0.7,-1.0,467,-1
CP HEK293 (10),C_current_pipeline,0.7,0.0,378,-1
CP HEK293 (10),C_current_pipeline,0.7,1.0,287,-1
CP HEK293 (10),C_current_pipeline,0.7,2.0,189,-1
CP HEK293 (10),C_current_pipeline,0.8,-3.0,477,-1
CP HEK293 (10),C_current_pipeline,0.8,-2.0,500,-1
CP HEK293 (10),C_current_pipeline,0.8,-1.0,474,-1
CP HEK293 (10),C_current_pipeline,0.8,0.0,382,-1
CP HEK293 (10),C_current_pipeline,0.8,1.0,288,-1
CP HEK293 (10),C_current_pipeline,0.8,2.0,191,-1
CP HEK293 (10),C_current_pipeline,0.9,-3.0,532,-1
CP HEK293 (10),C_current_pipeline,0.9,-2.0,531,-1
CP HEK293 (10),C_current_pipeline,0.9,-1.0,479,-1
CP HEK293 (10),C_current_pipeline,0.9,0.0,387,-1
CP HEK293 (10),C_current_pipeline,0.9,1.0,290,-1
CP HEK293 (10),C_current_pipeline,0.9,2.0,192,-1
CP HEK293 (10),C_current_pipeline,1.0,-3.0,616,-1
CP HEK293 (10),C_current_pipeline,1.0,-2.0,558,-1
CP HEK293 (10),C_current_pipeline,1.0,-1.0,481,-1
CP HEK293 (10),C_current_pipeline,1.0,0.0,387,-1
CP HEK293 (10),C_current_pipeline,1.0,1.0,291,-1
CP HEK293 (10),C_current_pipeline,1.0,2.0,194,-1
CP HEK293 (10),D_clahe,0.2,-3.0,7,-1
CP HEK293 (10),D_clahe,0.2,-2.0,106,-1
CP HEK293 (10),D_clahe,0.2,-1.0,259,-1
CP HEK293 (10),D_clahe,0.2,0.0,319,-1
CP HEK293 (10),D_clahe,0.2,1.0,306,-1
CP HEK293 (10),D_clahe,0.2,2.0,254,-1
CP HEK293 (10),D_clahe,0.3,-3.0,120,-1
CP HEK293 (10),D_clahe,0.3,-2.0,259,-1
CP HEK293 (10),D_clahe,0.3,-1.0,342,-1
CP HEK293 (10),D_clahe,0.3,0.0,379,-1
CP HEK293 (10),D_clahe,0.3,1.0,333,-1
CP HEK293 (10),D_clahe,0.3,2.0,270,-1
CP HEK293 (10),D_clahe,0.4,-3.0,262,-1
CP HEK293 (10),D_clahe,0.4,-2.0,346,-1
CP HEK293 (10),D_clahe,0.4,-1.0,410,-1
CP HEK293 (10),D_clahe,0.4,0.0,422,-1
CP HEK293 (10),D_clahe,0.4,1.0,350,-1
CP HEK293 (10),D_clahe,0.4,2.0,285,-1
CP HEK293 (10),D_clahe,0.5,-3.0,359,-1
CP HEK293 (10),D_clahe,0.5,-2.0,410,-1
CP HEK293 (10),D_clahe,0.5,-1.0,450,-1
CP HEK293 (10),D_clahe,0.5,0.0,433,-1
CP HEK293 (10),D_clahe,0.5,1.0,358,-1
CP HEK293 (10),D_clahe,0.5,2.0,294,-1
CP HEK293 (10),D_clahe,0.6,-3.0,420,-1
CP HEK293 (10),D_clahe,0.6,-2.0,455,-1
CP HEK293 (10),D_clahe,0.6,-1.0,476,-1
CP HEK293 (10),D_clahe,0.6,0.0,442,-1
CP HEK293 (10),D_clahe,0.6,1.0,360,-1
CP HEK293 (10),D_clahe,0.6,2.0,296,-1
CP HEK293 (10),D_clahe,0.7,-3.0,466,-1
CP HEK293 (10),D_clahe,0.7,-2.0,492,-1
CP HEK293 (10),D_clahe,0.7,-1.0,488,-1
CP HEK293 (10),D_clahe,0.7,0.0,448,-1
CP HEK293 (10),D_clahe,0.7,1.0,363,-1
CP HEK293 (10),D_clahe,0.7,2.0,298,-1
CP HEK293 (10),D_clahe,0.8,-3.0,513,-1
CP HEK293 (10),D_clahe,0.8,-2.0,517,-1
CP HEK293 (10),D_clahe,0.8,-1.0,498,-1
CP HEK293 (10),D_clahe,0.8,0.0,451,-1
CP HEK293 (10),D_clahe,0.8,1.0,365,-1
CP HEK293 (10),D_clahe,0.8,2.0,298,-1
CP HEK293 (10),D_clahe,0.9,-3.0,568,-1
CP HEK293 (10),D_clahe,0.9,-2.0,547,-1
CP HEK293 (10),D_clahe,0.9,-1.0,506,-1
CP HEK293 (10),D_clahe,0.9,0.0,453,-1
CP HEK293 (10),D_clahe,0.9,1.0,368,-1
CP HEK293 (10),D_clahe,0.9,2.0,299,-1
CP HEK293 (10),D_clahe,1.0,-3.0,648,-1
CP HEK293 (10),D_clahe,1.0,-2.0,568,-1
CP HEK293 (10),D_clahe,1.0,-1.0,507,-1
CP HEK293 (10),D_clahe,1.0,0.0,454,-1
CP HEK293 (10),D_clahe,1.0,1.0,368,-1
CP HEK293 (10),D_clahe,1.0,2.0,300,-1
CP HEK293 (10),E_clahe_denoise,0.2,-3.0,3,-1
CP HEK293 (10),E_clahe_denoise,0.2,-2.0,75,-1
CP HEK293 (10),E_clahe_denoise,0.2,-1.0,223,-1
CP HEK293 (10),E_clahe_denoise,0.2,0.0,295,-1
CP HEK293 (10),E_clahe_denoise,0.2,1.0,281,-1
CP HEK293 (10),E_clahe_denoise,0.2,2.0,220,-1
CP HEK293 (10),E_clahe_denoise,0.3,-3.0,80,-1
CP HEK293 (10),E_clahe_denoise,0.3,-2.0,231,-1
CP HEK293 (10),E_clahe_denoise,0.3,-1.0,313,-1
